testcase_name,network_name,op_name,stc_input_dtypes,stc_ori_inputs,stc_ori_outputs,stc_input_ori_formats,output_ori_formats,other_compilation_params,other_runtime_params,stc_inputs,output_dtypes,stc_outputs,stc_input_formats,output_formats,dyn_inputs,dyn_input_dtypes,dyn_outputs,dyn_ori_inputs,dyn_ori_outputs,dyn_input_formats,dyn_input_ori_formats,dyn_input_ranges,dyn_output_ranges,input_data_ranges,precision_tolerances,absolute_precision,dyn_input_as_list_distribution,stc_input_as_list_distribution,input_as_variable,stc_op_name,const_input_indexes,stc_const_input_indexes,strict_precision_mode,shape_check,output_inplace_indexes,output_shape_unknown_indexes,is_enabled,remark,soc_series,priority,dump_input_data_name,dump_output_data_name,manual_input_data_binaries,manual_output_data_binaries,manual_output_data_dtypes,manual_tiling_data,manual_dyn_workspaces,manual_stc_workspaces,manual_bin_workspaces,manual_block_dim,manual_tiling_op_type,manual_dyn_build_config,manual_stc_build_config,tiling_time_us,bin_tiling_time_us,dyn_name,stc_name,cst_name,bin_name,dyn_block_dim,stc_block_dim,cst_block_dim,bin_block_dim,dyn_perf_us,stc_perf_us,cst_perf_us,bin_perf_us,dyn_throughput_gbs,stc_throughput_gbs,cst_throughput_gbs,bin_throughput_gbs,dyn_compile_s,stc_compile_s,cst_compile_s,bin_compile_s,perf_status,dyn_precision,stc_precision,rel_precision,cst_precision,rst_precision,bin_precision,bre_precision,precision_status,dyn_oob_result,stc_oob_result,cst_oob_result,bin_oob_result,memory_oob_status,dyn_tiling_key,dyn_tiling_data,bin_tiling_key,bin_tiling_data,dyn_clear_atomic,dyn_sch_count,dyn_obj_size_b,dyn_tiling_data_size,dyn_workspaces,stc_workspaces,cst_workspaces,bin_workspaces,dyn_op_pattern,stc_op_pattern,cst_op_pattern,stc_rl_query_result,cst_rl_query_result,data_input_size_b,data_output_size_b,soc
batch_mat_mul_v3_B_128_M_10240_K_512_N_128_case1741,UNKNOWN,batch_mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((128, 10240, 512), (128, 512, 128), None, None)","((128, 10240, 128),)","('ND',)","('ND',)","{'adj_x1': False, 'adj_x2': False}","{'adj_x1': False, 'adj_x2': False}","((128, 10240, 512), (128, 512, 128), None, None)","('bfloat16',)","((128, 10240, 128),)","('ND',)","('ND',)","((-1, -1, -1), (-1, -1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1, -1),)","((-1, -1, -1), (-1, -1, -1), None, None)","((-1, -1, -1),)","('ND',)","('ND',)","(((1, None), (1, None), (1, None)), ((1, None), (1, None), (1, None)), None, None)","(((1, None), (1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),batch_mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(43, 47, 48)",DYN_OFF,STC_OFF,CST_OFF,bin_op_batch_mat_mul_v3_B_128_M_10240_K_512_N_128_case1741,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,1164.441,DYN_OFF,STC_OFF,CST_OFF,1355.2640279756554,DYN_OFF,STC_OFF,CST_OFF,21.85028052330017,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.99208867549896%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",1 (0x0000000000000001),"(32, 10240, 128, 512, 256, 128, 256, 256, 256, 64, 512, 1, 1, 1, 1, 0, 0, 16843264, 1, 256, 1, 0, 128, 0)",False,DYN_OFF,DYN_OFF,,,,,"(20971520,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,1358954496,335544320,Ascend910_9589
mat_mul_v3_M_28672_K_4096_N_7168_case1818,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((28672, 4096), (4096, 7168), None, None)","((28672, 7168),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((28672, 4096), (4096, 7168), None, None)","('bfloat16',)","((28672, 7168),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(43, 42, 43)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,3911.138,DYN_OFF,STC_OFF,CST_OFF,167.79003962529575,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.97592945488132%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",1 (0x0000000000000001),"(32, 28672, 7168, 4096, 256, 256, 256, 256, 256, 64, 4096, 1, 1, 1, 1, 0, 0, 16843264, 0, 256, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(20971520,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,293601280,411041792,Ascend910_9589
mat_mul_v3_M_64_K_4096_N_1152_case708,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((64, 4096), (4096, 1152), None, None)","((64, 1152),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((64, 4096), (4096, 1152), None, None)","('bfloat16',)","((64, 1152),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(35, 43, 44)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,13.244,DYN_OFF,STC_OFF,CST_OFF,710.8632476262836,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.9755859375%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",4097 (0x0000000000001001),"(32, 64, 1152, 4096, 64, 240, 256, 64, 240, 64, 683, 1, 1, 1, 1, 0, 0, 16843264, 0, 64, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(29360128,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,9961472,147456,Ascend910_9589
mat_mul_v3_M_7168_K_2048_N_4096_case234,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((7168, 2048), (2048, 4096), None, None)","((7168, 4096),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((7168, 2048), (2048, 4096), None, None)","('bfloat16',)","((7168, 4096),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(41, 49, 50)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,286.212,DYN_OFF,STC_OFF,CST_OFF,341.20250024457397,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.98177460261753%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",1 (0x0000000000000001),"(32, 7168, 4096, 2048, 256, 256, 256, 256, 256, 64, 2048, 1, 1, 1, 1, 0, 0, 16843264, 0, 256, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(20971520,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,46137344,58720256,Ascend910_9589
mat_mul_v3_M_10240_K_2048_N_4096_case580,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((10240, 2048), (2048, 4096), None, None)","((10240, 4096),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((10240, 2048), (2048, 4096), None, None)","('bfloat16',)","((10240, 4096),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(39, 42, 43)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,407.028,DYN_OFF,STC_OFF,CST_OFF,326.2981907878573,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.9819564819336%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",1 (0x0000000000000001),"(32, 10240, 4096, 2048, 256, 256, 256, 256, 256, 64, 2048, 1, 1, 1, 1, 0, 0, 16843264, 0, 256, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(20971520,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,58720256,83886080,Ascend910_9589
mat_mul_v3_M_1024_K_4096_N_768_case272,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((1024, 4096), (4096, 768), None, None)","((1024, 768),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((1024, 4096), (4096, 768), None, None)","('bfloat16',)","((1024, 768),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(35, 37, 41)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,29.579,DYN_OFF,STC_OFF,CST_OFF,511.73869130126104,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.97609456380209%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",4097 (0x0000000000001001),"(32, 1024, 768, 4096, 256, 256, 256, 256, 256, 64, 2048, 1, 1, 1, 1, 0, 0, 16843264, 0, 256, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(29360128,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,14680064,1572864,Ascend910_9589
mat_mul_v3_M_32_K_7168_N_576_case1495,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((32, 7168), (7168, 576), None, None)","((32, 576),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((32, 7168), (7168, 576), None, None)","('bfloat16',)","((32, 576),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(40, 45, 44)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,10.197,DYN_OFF,STC_OFF,CST_OFF,799.4516089674046,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.96744791666666%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",4097 (0x0000000000001001),"(32, 32, 576, 7168, 32, 192, 256, 32, 192, 64, 717, 1, 1, 1, 1, 0, 0, 16843264, 0, 32, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(29360128,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,8716288,36864,Ascend910_9589
mat_mul_v3_M_16384_K_18432_N_7168_case1911,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((16384, 18432), (18432, 7168), None, None)","((16384, 7168),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((16384, 18432), (18432, 7168), None, None)","('bfloat16',)","((16384, 7168),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(44, 49, 47)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,10027.014,DYN_OFF,STC_OFF,CST_OFF,102.45759605003046,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.95469450950623%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",1 (0x0000000000000001),"(32, 16384, 7168, 18432, 256, 256, 256, 256, 256, 64, 18432, 1, 1, 1, 1, 0, 0, 16843264, 0, 256, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(20971520,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,868220928,234881024,Ascend910_9589
mat_mul_v3_M_1024_K_4096_N_24576_case277,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((1024, 4096), (4096, 24576), None, None)","((1024, 24576),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((1024, 4096), (4096, 24576), None, None)","('bfloat16',)","((1024, 24576),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(37, 39, 43)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,485.376,DYN_OFF,STC_OFF,CST_OFF,498.96884065137135,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.97624158859253%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",1 (0x0000000000000001),"(32, 1024, 24576, 4096, 256, 256, 256, 256, 256, 64, 4096, 1, 1, 1, 1, 0, 0, 16843264, 0, 256, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(20971520,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,209715200,50331648,Ascend910_9589
mat_mul_v3_M_57344_K_7168_N_9216_case1877,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((57344, 7168), (7168, 9216), None, None)","((57344, 9216),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((57344, 7168), (7168, 9216), None, None)","('bfloat16',)","((57344, 9216),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(41, 45, 47)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,17556.6,DYN_OFF,STC_OFF,CST_OFF,106.68619635920396,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.9698415635124%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",1 (0x0000000000000001),"(32, 57344, 9216, 7168, 256, 256, 256, 256, 256, 64, 7168, 1, 1, 1, 1, 0, 0, 16843264, 0, 256, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(20971520,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,954204160,1056964608,Ascend910_9589
mat_mul_v3_M_1_K_7168_N_256_case1342,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((1, 7168), (7168, 256), None, None)","((1, 256),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((1, 7168), (7168, 256), None, None)","('bfloat16',)","((1, 256),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(35, 44, 44)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,6.598,DYN_OFF,STC_OFF,CST_OFF,520.1268608044696,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,100.0%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",4097 (0x0000000000001001),"(32, 1, 256, 7168, 16, 256, 256, 16, 256, 64, 224, 1, 1, 1, 1, 0, 0, 16843264, 0, 16, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(29360128,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,3684352,512,Ascend910_9589
mat_mul_v3_M_15360_K_4096_N_2304_case46,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((15360, 4096), (4096, 2304), None, None)","((15360, 2304),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((15360, 4096), (4096, 2304), None, None)","('bfloat16',)","((15360, 2304),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(42, 50, 52)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,684.917,DYN_OFF,STC_OFF,CST_OFF,293.0042527050723,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.97591937029803%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",1 (0x0000000000000001),"(32, 15360, 2304, 4096, 256, 256, 256, 256, 256, 64, 4096, 1, 1, 1, 1, 0, 0, 16843264, 0, 256, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(20971520,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,144703488,70778880,Ascend910_9589
mat_mul_v3_M_3584_K_4096_N_3072_case295,UNKNOWN,mat_mul_v3,"('bfloat16', 'bfloat16', 'int8', 'int8')","((3584, 4096), (4096, 3072), None, None)","((3584, 3072),)","('ND',)","('ND',)","{'transpose_x1': False, 'transpose_x2': False}","{'transpose_x1': False, 'transpose_x2': False}","((3584, 4096), (4096, 3072), None, None)","('bfloat16',)","((3584, 3072),)","('ND',)","('ND',)","((-1, -1), (-1, -1), None, None)","('bfloat16', 'bfloat16', 'int8', 'int8')","((-1, -1),)","((-1, -1), (-1, -1), None, None)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)), ((1, None), (1, None)), None, None)","(((1, None), (1, None)),)","((None, None),)",,1e-08,(),(),(),mat_mul_v3,(),(),True,True,(),(),True,,,0,,,(),(),(),,,,,,,"{'save_temp_cce_file': True, 'op_debug_config': 'dump_cce'}",{'save_temp_cce_file': True},DYN_OFF,"(29, 28, 33)",DYN_OFF,STC_OFF,CST_OFF,bin_op_mat_mul_v3_M_28672_K_4096_N_7168_case1818,DYN_OFF,STC_OFF,CST_OFF,32,DYN_OFF,STC_OFF,CST_OFF,216.611,DYN_OFF,STC_OFF,CST_OFF,329.1109985180808,DYN_OFF,STC_OFF,CST_OFF,23.185214042663574,PASS,DYN_OFF,STC_OFF,DYN_OFF,CST_OFF,CST_OFF,99.97604006812686%,DYN_OFF,PASS,UNKNOWN,UNKNOWN,UNKNOWN,"OK,OK",PASS,DYN_OFF (DYN_OFF),"('DYN_OFF', False)",4097 (0x0000000000001001),"(32, 3584, 3072, 4096, 256, 256, 256, 256, 256, 64, 1024, 1, 1, 1, 1, 0, 0, 16843264, 0, 256, 1, 0)",False,DYN_OFF,DYN_OFF,,,,,"(29360128,)",DYN_OFF,STC_OFF,CST_OFF,STC_OFF,CST_OFF,54525952,22020096,Ascend910_9589
